Epoch,MSE,C-Index,RM2,Pearson,AUPR
42,0.30425552,0.872182699,0.627647547,0.795285657,0.640613025
43,0.3061838,0.874102009,0.617128188,0.792119356,0.641265747
44,0.33594197,0.867095964,0.601838417,0.792095921,0.639231609
45,0.34184512,0.871818043,0.635230589,0.797128149,0.656280082
46,0.32830477,0.869607284,0.610530449,0.80022614,0.640519484
47,0.3257869,0.873953757,0.608448221,0.804665557,0.66458543
48,0.2952164,0.872689022,0.641321139,0.8034857,0.667933248
49,0.32273132,0.86770061,0.626745599,0.800064918,0.64381534
50,0.3056988,0.874015937,0.619969285,0.806145286,0.666789068
51,0.3151821,0.866958203,0.61111558,0.803464834,0.650452567
52,0.31069478,0.869989477,0.650103812,0.806965737,0.645206865
53,0.2945724,0.870455214,0.62522813,0.805567123,0.650650498
54,0.34141624,0.875060591,0.648205984,0.812693603,0.656918733
55,0.35185066,0.87680454,0.663223135,0.814962235,0.668937373
56,0.2812172,0.870451232,0.655233962,0.814011858,0.684090603
57,0.33326823,0.870430939,0.636544146,0.816110956,0.661624428
58,0.2825844,0.87184852,0.662691017,0.818045354,0.68173283
59,0.2715726,0.875652449,0.672026824,0.820192022,0.683382863
60,0.26577723,0.876542573,0.664706038,0.823076829,0.683613823
61,0.268348,0.875195672,0.658606111,0.825758749,0.708423742
62,0.3093474,0.86892453,0.618748559,0.817657906,0.670327227
63,0.2943474,0.871893318,0.662410916,0.819944801,0.664571269
64,0.28901717,0.87678777,0.653592267,0.825017772,0.682736085
65,0.2777762,0.873746618,0.654271987,0.823586315,0.688454842
66,0.2653773,0.872249015,0.655892819,0.818047324,0.673633395
67,0.30261964,0.870607295,0.638459785,0.820282838,0.6644226
68,0.28414893,0.87572022,0.650484844,0.817028207,0.65123504
69,0.2633616,0.87448198,0.664000518,0.821792927,0.688718225
70,0.26122028,0.874516823,0.678395253,0.824550034,0.677972789
71,0.2724407,0.873955671,0.683393626,0.826707114,0.684184049
72,0.26748174,0.873686046,0.667857623,0.821325192,0.674756094
73,0.2886609,0.879306212,0.678808517,0.828364154,0.683698374
74,0.32571653,0.879856413,0.673952724,0.827067193,0.673513807
75,0.25707507,0.874528156,0.668374693,0.826352117,0.689310793
76,0.25068775,0.879494743,0.67114417,0.830196991,0.690993775
77,0.26849982,0.876541194,0.678921488,0.824728979,0.683627709
78,0.25818634,0.878232765,0.658848488,0.831051656,0.687060057
79,0.28906485,0.877965361,0.672777196,0.828844035,0.66068611
80,0.25683266,0.880492227,0.668810947,0.827922794,0.686815891
81,0.31146663,0.872402856,0.66026605,0.820880203,0.668654037
82,0.2654209,0.876296533,0.66638687,0.826856126,0.681325957
83,0.31441224,0.871539152,0.646387528,0.818416588,0.659484176
84,0.27024984,0.874496683,0.671704309,0.821305649,0.679874882
85,0.26012915,0.876109074,0.673659166,0.823106221,0.686518968
86,0.25855276,0.873036908,0.672602925,0.825239197,0.683922134
87,0.25879413,0.875000096,0.672364272,0.82675611,0.691136775
88,0.25790992,0.878083059,0.667830605,0.82663133,0.686455628
89,0.28822473,0.876201042,0.658096645,0.822589477,0.685579275
90,0.2664542,0.87733575,0.665837678,0.828578863,0.673707074
91,0.2777807,0.878027847,0.669041212,0.827995276,0.66983062
92,0.28486085,0.87264859,0.671997859,0.829261272,0.668669254
93,0.25502387,0.879305447,0.666047775,0.827889757,0.677787322
94,0.25524414,0.876692662,0.673787577,0.830480271,0.682348032
95,0.27501425,0.879207276,0.689560956,0.830927876,0.670431326
96,0.2524854,0.8773163,0.672394052,0.831511124,0.696462048
97,0.27942783,0.868801319,0.6548549,0.825318534,0.68033669
98,0.26540655,0.876083957,0.685300406,0.828054574,0.682458034
99,0.26612127,0.872693846,0.682211442,0.82684153,0.689613602
100,0.2477768,0.878469616,0.671057065,0.83203806,0.689011101
101,0.26526952,0.873818829,0.680916851,0.826355898,0.675908219
102,0.28741875,0.875718765,0.695180743,0.834176673,0.670251638
103,0.254955,0.872395888,0.677348226,0.827509457,0.700694562
104,0.25665915,0.876649473,0.685885338,0.831394233,0.68912391
105,0.24876498,0.882434968,0.673104796,0.833537612,0.703663117
106,0.28269628,0.874035387,0.675284373,0.826120189,0.68033669
107,0.2583705,0.879083146,0.674816148,0.834681434,0.693196618
108,0.273182,0.876008529,0.673484545,0.828645531,0.674782818
109,0.2493952,0.881165256,0.686017617,0.834600283,0.689353707
110,0.2538856,0.878234833,0.688704586,0.83279026,0.680060282
111,0.25241646,0.874220089,0.684465286,0.832221504,0.692371581
112,0.25615168,0.877034346,0.664413975,0.829093577,0.689353707
113,0.25993994,0.878197617,0.671806857,0.830683556,0.670404032
114,0.2601844,0.8772993,0.682985731,0.832743524,0.676987878
115,0.25164324,0.877716564,0.686105822,0.828487954,0.686536318
116,0.2509151,0.876245993,0.676692386,0.829253936,0.669731173
117,0.26239863,0.869963671,0.674637262,0.824206703,0.70770136
118,0.278622,0.87056579,0.673597632,0.829563589,0.6809139
119,0.24530894,0.880207363,0.69975364,0.836902364,0.700481936
120,0.24910599,0.874160743,0.679554377,0.832195428,0.708301965
121,0.24118109,0.885236896,0.68868267,0.83882042,0.703658076
122,0.27659315,0.874221238,0.651417319,0.829838219,0.671531654
123,0.25771013,0.872254605,0.667980796,0.833026397,0.683698312
124,0.25173852,0.873600893,0.670456571,0.830284284,0.67328108
125,0.24539305,0.880103755,0.692183154,0.838020869,0.686599856
126,0.27815703,0.87508724,0.67958547,0.83622963,0.673140012
127,0.2569387,0.873977266,0.691462256,0.834805646,0.680746168
128,0.2587214,0.874614074,0.660979587,0.830952041,0.668255333
129,0.25187793,0.876092074,0.66630192,0.831376037,0.678219206
130,0.29260296,0.872562135,0.673452589,0.834828285,0.679971879
131,0.25650686,0.8788842,0.690738407,0.836728279,0.675327576
132,0.26368332,0.87482688,0.68701561,0.840278414,0.67268098
133,0.24403785,0.881808344,0.670700621,0.836591198,0.696798196
134,0.24199769,0.871124798,0.678590706,0.837009948,0.695556484
135,0.26031828,0.876712572,0.679523955,0.835771209,0.672276523
136,0.24144365,0.880235849,0.683803019,0.836710333,0.704390118
137,0.26271874,0.87365687,0.694979155,0.83441835,0.67554
138,0.2686282,0.875485973,0.687623205,0.83396877,0.679337584
139,0.24784878,0.876189403,0.68627407,0.835189804,0.690731564
140,0.24763072,0.880368173,0.685426019,0.836865133,0.698374013
141,0.2542764,0.877605069,0.686058527,0.838251889,0.689448754
142,0.24278006,0.877375034,0.680438057,0.837822923,0.692365927
143,0.24253073,0.876324483,0.693830238,0.835666618,0.693817154
144,0.24999325,0.879804571,0.69050301,0.839666783,0.702213916
145,0.2414382,0.873961568,0.698712469,0.836900544,0.695242224
146,0.25886112,0.879997926,0.700464805,0.838471282,0.678131507
147,0.2415211,0.877418376,0.700838282,0.838144453,0.695083033
148,0.26753846,0.874165184,0.702517053,0.838356856,0.680542955
149,0.24222448,0.879650806,0.705190051,0.840490227,0.708563608
150,0.24039562,0.880485718,0.703101609,0.840150756,0.679164056
151,0.2657434,0.880374299,0.671240146,0.835516962,0.66458543
152,0.23645625,0.884009837,0.694415915,0.842559495,0.71502872
153,0.26105815,0.881871979,0.685458068,0.839247172,0.692087824
154,0.24661851,0.878945538,0.674724451,0.835200154,0.700358536
155,0.28879547,0.879762148,0.699896936,0.838962743,0.68890808
156,0.24176213,0.872643919,0.68096705,0.840369948,0.700057754
157,0.2683448,0.870915821,0.676480056,0.832678096,0.698146063
158,0.27426866,0.876114128,0.668288154,0.839274393,0.689687773
159,0.24986361,0.88060487,0.702120955,0.841188541,0.688468446
160,0.24153511,0.87789269,0.709447019,0.843234471,0.684401482
161,0.23973854,0.878227175,0.696230216,0.837705443,0.682798593
162,0.23268205,0.881865929,0.706799298,0.842657167,0.698156419
163,0.24143218,0.883776815,0.71204758,0.845764294,0.697281701
164,0.23772445,0.878880295,0.692382199,0.843008549,0.676130905
165,0.2402216,0.884716406,0.701500427,0.84491779,0.690932497
166,0.24373002,0.882435198,0.701244212,0.842858481,0.683800942
167,0.238753,0.881784146,0.711160906,0.844677195,0.689585889
168,0.23630434,0.884387894,0.71003469,0.844989642,0.683800942
169,0.23995237,0.884204953,0.706643033,0.843125291,0.689699074
170,0.22891533,0.888165557,0.694055318,0.847215451,0.696798196
171,0.27150235,0.880021435,0.701193368,0.841477986,0.677910963
172,0.24354236,0.880711235,0.709729599,0.845075018,0.693628057
173,0.24950916,0.881668592,0.700500472,0.843769833,0.701283076
174,0.2396519,0.880178034,0.697149856,0.843008736,0.701181792
175,0.25385168,0.874370255,0.698328863,0.843794399,0.700061331
176,0.23834516,0.884210237,0.709636545,0.843106965,0.684909501
177,0.23387654,0.886751958,0.701972126,0.846006723,0.705287049
178,0.25099075,0.879805643,0.693212765,0.840963344,0.695446174
179,0.2357132,0.886573689,0.708949985,0.844021482,0.686409448
180,0.23625523,0.882325694,0.703866734,0.842996704,0.70770136
181,0.23714544,0.879089272,0.694802386,0.840485652,0.684923937
182,0.23714231,0.879661067,0.69498979,0.839577368,0.69649889
183,0.24341,0.881084927,0.708779958,0.8450917,0.704249536
184,0.23187628,0.882056681,0.70438888,0.845749098,0.685149985
185,0.23308682,0.882412225,0.691656819,0.842445755,0.683877894
186,0.22861993,0.885480026,0.70759985,0.850421102,0.698024615
187,0.22599442,0.88612319,0.709859487,0.849716198,0.682798593
188,0.23904786,0.881652664,0.713643392,0.848046461,0.682775326
189,0.26626763,0.874512151,0.693224302,0.84688395,0.685452425
190,0.2439998,0.881314656,0.711079002,0.848180173,0.678817267
191,0.23591281,0.8810654,0.70007931,0.846320148,0.68500973
192,0.24964757,0.882059821,0.693806888,0.845571342,0.686614713
193,0.22984006,0.882015406,0.715375501,0.847329125,0.68637015
194,0.23826629,0.882869539,0.692506255,0.843982992,0.68151012
195,0.2334824,0.88510082,0.710729339,0.845444567,0.668944383
196,0.23606953,0.880827937,0.694633485,0.845477786,0.688910815
197,0.24250011,0.882964034,0.715789907,0.847736869,0.684822173
198,0.24287568,0.879186294,0.699793888,0.842062344,0.691978559
199,0.24732551,0.877437137,0.711951879,0.844175172,0.691036718
200,0.24042653,0.881999172,0.7006453,0.842304792,0.683547068
201,0.2431779,0.880789266,0.703418956,0.845794439,0.677853337
202,0.2516141,0.876717014,0.689088295,0.842798316,0.681975769
203,0.23204134,0.881772353,0.716323349,0.846765011,0.700891622
204,0.23200534,0.883324172,0.71329427,0.846727208,0.682406201
205,0.24329042,0.874103004,0.669107296,0.841915777,0.689613602
206,0.250203,0.876320348,0.689731315,0.848156707,0.698691591
207,0.23454794,0.881237544,0.70112377,0.848353664,0.690792217
208,0.24051178,0.877926384,0.710558537,0.846602172,0.688258789
209,0.24112056,0.886988962,0.722988138,0.85162973,0.709005681
210,0.23877077,0.879601491,0.700856636,0.843935684,0.701378465
211,0.2503633,0.879468401,0.714167149,0.846185685,0.693680117
212,0.22912054,0.885892083,0.710937684,0.850078061,0.704350365
213,0.2406779,0.877127003,0.696275825,0.84736536,0.697226949
214,0.2289273,0.881885686,0.715914391,0.846156721,0.686659878
215,0.22766542,0.886476667,0.704663675,0.84892547,0.70798805
216,0.22796267,0.885434463,0.711427251,0.851460695,0.697954366
217,0.2298111,0.884172179,0.709727244,0.848352912,0.695699836
218,0.24221864,0.881448435,0.71695086,0.848030252,0.68912391
219,0.22253856,0.882878651,0.722976512,0.851244717,0.692365927
220,0.24717252,0.884164368,0.709526467,0.847307134,0.677862649
221,0.24202867,0.87876612,0.687944841,0.846868964,0.683769855
222,0.24372827,0.876099732,0.693552213,0.847864386,0.685579275
223,0.2271826,0.885268752,0.713653134,0.846811684,0.675953768
224,0.23777679,0.882328527,0.695908897,0.850566988,0.710869716
225,0.22253518,0.884990933,0.717099496,0.851232485,0.699902641
226,0.23653167,0.880542001,0.719186674,0.849243916,0.687692665
227,0.24711071,0.879438843,0.716047342,0.847214693,0.700833392
228,0.23613946,0.885543124,0.71250073,0.850039248,0.681986461
229,0.22308715,0.885464174,0.725126065,0.851610782,0.683682691
230,0.2284915,0.885883353,0.704305478,0.848287936,0.700962144
231,0.24292445,0.872025871,0.692442085,0.846904606,0.705868383
232,0.23042932,0.880499961,0.700557129,0.849693568,0.696511825
233,0.23864008,0.884397772,0.723821891,0.851863575,0.702854631
234,0.24360237,0.883802698,0.698825536,0.851336736,0.693476886
235,0.22714846,0.883346379,0.712676558,0.850381179,0.713266063
236,0.24482307,0.876579712,0.693437671,0.847052101,0.683154835
237,0.22768795,0.880670113,0.7020359,0.847715048,0.690932497
238,0.2335326,0.885005329,0.716710878,0.852149097,0.696759239
239,0.22508514,0.888414048,0.721839656,0.852983569,0.699529791
240,0.2294523,0.880047548,0.710396348,0.848507857,0.687967585
241,0.23669004,0.884538443,0.70761839,0.850332939,0.698287533
242,0.2287604,0.884860676,0.715151464,0.850833084,0.707929922
243,0.23786211,0.883623739,0.721534574,0.851881167,0.685665859
244,0.23853971,0.878199531,0.708475975,0.846700293,0.700116314
245,0.22748102,0.87993789,0.712982047,0.848249405,0.697987328
246,0.22866423,0.877065283,0.701220537,0.850054897,0.703980051
247,0.22537425,0.883236722,0.708692811,0.848164001,0.691066606
248,0.25332305,0.87963909,0.70738537,0.849172324,0.702587822
249,0.22892226,0.878611818,0.714469881,0.847814207,0.689274444
250,0.2306626,0.88335756,0.715802864,0.852787019,0.698114048
251,0.22983082,0.880375448,0.682852407,0.850193939,0.701759237
252,0.24350552,0.875483369,0.682357818,0.849209669,0.691027082
253,0.23356855,0.881317872,0.700157905,0.846016497,0.693681675
254,0.22989504,0.880779464,0.708569736,0.846042328,0.69649889
255,0.22833249,0.88226405,0.713586605,0.8518803,0.674697169
256,0.2354975,0.87769183,0.712888495,0.848607647,0.688392667
257,0.2214812,0.88131726,0.718059591,0.851818817,0.695070426
258,0.23096539,0.882295905,0.714109996,0.85076987,0.693736363
259,0.22957966,0.876743279,0.714650466,0.849726938,0.685150415
260,0.22546811,0.877456894,0.714855738,0.851128926,0.70124551
261,0.24279247,0.875773134,0.695657439,0.84905557,0.712613216
262,0.22424327,0.878516098,0.703284993,0.848926587,0.684579976
263,0.22919887,0.878883128,0.715954042,0.848667623,0.700891622
264,0.23056085,0.878922795,0.697358859,0.85137137,0.696462048
265,0.23599364,0.879577063,0.714154471,0.848518905,0.687929446
266,0.22140224,0.884519299,0.721429319,0.851585414,0.69160492
267,0.23642851,0.877953492,0.714209034,0.848786631,0.699636692
268,0.2311464,0.885556525,0.725790563,0.851970112,0.691136775
269,0.23158096,0.883976832,0.718942907,0.847935393,0.701378465
270,0.23417917,0.881773808,0.715687496,0.852120723,0.699286512
271,0.22450034,0.880596447,0.699258802,0.850259073,0.683465855
272,0.23955461,0.87560367,0.697334566,0.849645137,0.689701142
273,0.23119484,0.878852727,0.706426024,0.850289299,0.714465793
274,0.22488867,0.880385403,0.721287082,0.854411762,0.691266426
275,0.22634265,0.882875052,0.715564125,0.853271838,0.699827233
276,0.23837878,0.87906538,0.712429003,0.8504228,0.693011361
277,0.23265342,0.880449956,0.712909999,0.851154438,0.70145738
278,0.22191454,0.87997258,0.725353984,0.852698385,0.705213314
279,0.2328991,0.876160227,0.69040817,0.852378263,0.703353554
280,0.22108993,0.879335847,0.708398409,0.854420488,0.683698312
281,0.22435544,0.884971099,0.718848183,0.853247654,0.698287533
282,0.22738083,0.884071327,0.71284407,0.848338418,0.689389944
283,0.22403423,0.883764639,0.729283283,0.854031572,0.708197883
284,0.22851865,0.884725519,0.719156352,0.854601394,0.71485712
285,0.22888559,0.873214183,0.708103828,0.852907567,0.700927686
286,0.22526865,0.878580269,0.716727691,0.853837122,0.698875688
287,0.2276024,0.878088496,0.721099484,0.852165862,0.70770136
288,0.23290758,0.878988497,0.710070215,0.850458148,0.693011361
289,0.2183991,0.886234149,0.727039947,0.855494893,0.699523944
290,0.2531997,0.884041769,0.709874741,0.851432252,0.689301972
291,0.23432876,0.875408018,0.698492449,0.845235644,0.694620112
292,0.2194525,0.878583562,0.696896743,0.852920369,0.687932414
293,0.22530301,0.884387281,0.713212393,0.853884408,0.710777414
294,0.2375451,0.876918945,0.713487802,0.851554041,0.687929446
295,0.21724795,0.88669445,0.711415809,0.854682817,0.695097197
296,0.22950569,0.885007167,0.719978209,0.853537781,0.702854631
297,0.23071674,0.879684959,0.704770732,0.854852543,0.703176185
298,0.2175791,0.884037098,0.719147012,0.854137314,0.710926246
299,0.22787447,0.87921815,0.713937523,0.851703517,0.690151852
300,0.2306417,0.885053113,0.719783635,0.852011035,0.707322264
301,0.24879606,0.877102192,0.717589041,0.851482765,0.703353554
302,0.22697729,0.880893869,0.714753677,0.852839324,0.714651793
303,0.23523232,0.879997467,0.720800575,0.854780654,0.716189513
304,0.21419182,0.883369123,0.719885085,0.856434948,0.695453448
305,0.23318468,0.88026311,0.719657101,0.854766375,0.688468446
306,0.23459594,0.877938176,0.726000882,0.853919502,0.694822955
307,0.22177671,0.881706191,0.729134878,0.854739561,0.702661424
308,0.21963924,0.877119499,0.72390861,0.853125761,0.7036685
309,0.2270318,0.881558322,0.713559917,0.854353877,0.721307781
310,0.2277054,0.879897994,0.722654829,0.85518922,0.694437301
311,0.24220738,0.874930564,0.695365013,0.848967937,0.688411538
312,0.26020747,0.876592041,0.722700391,0.852416953,0.703216345
313,0.23298927,0.880897851,0.723310405,0.853076146,0.700116314
314,0.22006316,0.886748436,0.73180755,0.856357654,0.708721969
315,0.24468648,0.879210262,0.712958151,0.853136266,0.706066909
316,0.22507602,0.875281131,0.696714738,0.853132208,0.698655725
317,0.23337354,0.881371246,0.722391424,0.8547772,0.700010829
318,0.22487238,0.880951225,0.719464317,0.855818776,0.70770136
319,0.2227434,0.883355875,0.71092792,0.856573699,0.720350407
320,0.21759711,0.878596809,0.708413757,0.856562831,0.716035392
321,0.22083986,0.882871376,0.703768296,0.856689937,0.719241878
322,0.21616673,0.880978639,0.726538981,0.856731589,0.690724307
323,0.22494152,0.883869855,0.729389558,0.854392483,0.702792145
324,0.21874195,0.88480355,0.7310093,0.85510711,0.719702322
325,0.22211339,0.883409708,0.731430271,0.856035515,0.709806237
326,0.22393207,0.880301398,0.722458291,0.855657706,0.708423742
327,0.22849502,0.881342224,0.706971349,0.854192691,0.70068199
328,0.22063337,0.878989033,0.718369235,0.858058351,0.699286149
329,0.223489,0.879343122,0.726298374,0.854429895,0.705757057
330,0.21950597,0.882223081,0.693944342,0.854577498,0.698875688
331,0.22198199,0.880134232,0.723832476,0.854519646,0.70124551
332,0.2208146,0.880486407,0.718088888,0.855765633,0.706304613
333,0.21928374,0.883421501,0.724628976,0.857326546,0.715687472
334,0.227188,0.880819437,0.71571446,0.857075477,0.705190449
335,0.21398234,0.887571402,0.726975959,0.857580969,0.69649889
336,0.22239766,0.88247027,0.725908633,0.855822715,0.68537035
337,0.22891027,0.878095311,0.710376229,0.855642816,0.702418273
338,0.23182288,0.874072986,0.709820764,0.856780912,0.698065191
339,0.21902762,0.876655293,0.713659898,0.855845245,0.695557954
340,0.226281,0.87555872,0.717413468,0.852744097,0.698875688
341,0.23938826,0.875483675,0.711393391,0.853665015,0.697139716
342,0.22191823,0.882627557,0.726079325,0.855849061,0.702661424
343,0.22468457,0.880818365,0.712286219,0.857083527,0.705190449
344,0.21796346,0.88018707,0.723623734,0.857886631,0.712623869
345,0.21956512,0.883132655,0.717535883,0.85666732,0.706895246
346,0.21560767,0.881042198,0.72502011,0.855139322,0.711380546
347,0.21941863,0.881739272,0.718314677,0.855368425,0.70537568
348,0.21981414,0.880229646,0.732001232,0.856736055,0.701130742
349,0.22031459,0.874938528,0.713452549,0.855400953,0.711226022
350,0.22009818,0.88197237,0.727909046,0.857576641,0.71485712
351,0.2270639,0.881268481,0.731097826,0.855272242,0.71861584
352,0.21442088,0.885150594,0.735142828,0.857453842,0.710757423
353,0.21646787,0.880347114,0.729612392,0.859271725,0.70931225
354,0.21138412,0.880812392,0.728492922,0.858981148,0.715302496
355,0.22749262,0.87819172,0.72458878,0.860021441,0.702785113
356,0.22827938,0.872654639,0.722663915,0.855501914,0.713176118
357,0.223663,0.876105475,0.728625142,0.856789864,0.720942246
358,0.21578589,0.886988809,0.731611774,0.858562059,0.716430419
359,0.2190821,0.881595232,0.729425439,0.858587949,0.718335162
360,0.21995954,0.883380992,0.730195277,0.858478458,0.70537568
361,0.2162156,0.88309988,0.731968145,0.856720894,0.706512647
362,0.23035672,0.867088842,0.71446583,0.858104868,0.698065191
363,0.2160068,0.882117559,0.735117876,0.858575068,0.709963518
364,0.2100654,0.884277854,0.723181356,0.859652366,0.721085206
365,0.22465529,0.872874796,0.692479599,0.857082076,0.699286512
366,0.21381173,0.884682253,0.726215357,0.859160456,0.700821717
367,0.22101049,0.881644164,0.717916935,0.855803906,0.707920535
368,0.22540268,0.874249188,0.720943375,0.856203021,0.710052586
369,0.21974209,0.879399253,0.719382134,0.857863569,0.702582098
370,0.21625033,0.880717591,0.733438601,0.857609035,0.698036758
371,0.22347108,0.884638911,0.725521248,0.854871078,0.705612516
372,0.22532357,0.878505454,0.723316178,0.85691623,0.695290645
373,0.2089914,0.882353414,0.723498,0.862386863,0.723388569
374,0.21013625,0.883624964,0.724642077,0.860342455,0.71275673
375,0.22034876,0.880339533,0.714190855,0.857966754,0.707624115
376,0.2097569,0.887040192,0.726911124,0.860217457,0.701474059
377,0.21310996,0.881625709,0.733033646,0.860314099,0.71680452
378,0.20891693,0.883860283,0.739739684,0.861039803,0.693817154
379,0.2134946,0.879340825,0.729384189,0.85958376,0.704075001
380,0.21642576,0.87873434,0.714002577,0.858669224,0.7115147
381,0.21232896,0.889718678,0.722820475,0.857882275,0.712218955
382,0.21354137,0.887935905,0.726976095,0.861232844,0.717882221
383,0.21945007,0.878907556,0.735730676,0.858086123,0.708420446
384,0.22047095,0.882091676,0.723097655,0.857135296,0.703731787
385,0.22271338,0.876389879,0.716605168,0.856248754,0.695844341
386,0.22894107,0.877694357,0.709561955,0.858304978,0.705868383
387,0.21111712,0.883952787,0.716492103,0.858926474,0.69075431
388,0.22817208,0.875412612,0.71708018,0.852342311,0.696983482
389,0.21652266,0.885020568,0.732833831,0.857076237,0.700891622
390,0.2081631,0.88792618,0.728579977,0.862906172,0.692371581
391,0.21704163,0.880271763,0.720626515,0.858963753,0.686951876
392,0.22211269,0.879885665,0.727503864,0.856551205,0.694822955
393,0.21981949,0.88404912,0.723524165,0.860207759,0.695844341
394,0.22128901,0.878727908,0.709654121,0.851670232,0.69649889
395,0.21843842,0.884935951,0.736151253,0.858814141,0.711226022
396,0.22565733,0.872255753,0.695744737,0.852320539,0.703465808
397,0.20991647,0.884195305,0.731934015,0.86093643,0.710926246
398,0.21075425,0.879820805,0.731350771,0.860640593,0.71947721
399,0.20962879,0.88473846,0.737889084,0.860052127,0.708524227
400,0.21201366,0.881254314,0.735244929,0.861214704,0.703737076
401,0.21534476,0.884225016,0.729591811,0.859463389,0.715082213
402,0.21698703,0.878029302,0.727168184,0.86029827,0.710084782
403,0.20847997,0.880530208,0.732554193,0.860883833,0.714988135
404,0.21478425,0.88224146,0.724723759,0.860714105,0.710701741
405,0.21557447,0.876038777,0.727957722,0.861087528,0.717251167
406,0.20723699,0.886683652,0.743414688,0.862476515,0.719204928
407,0.21120171,0.881802065,0.731186957,0.861127159,0.699827233
408,0.20738932,0.884378935,0.738381202,0.862287214,0.716530451
409,0.20657006,0.877935496,0.733313343,0.863128721,0.717236169
410,0.20691437,0.885139184,0.740171254,0.861955397,0.706772247
411,0.20907182,0.886357667,0.726501798,0.863033922,0.712571205
412,0.2193244,0.875136095,0.717013749,0.859508395,0.718527216
413,0.21125235,0.879562743,0.713397341,0.862550384,0.698374013
414,0.21786804,0.883263294,0.729702386,0.861902291,0.713588899
415,0.21615879,0.874818916,0.708616153,0.858060781,0.712843461
416,0.21623228,0.881784911,0.72248436,0.859549155,0.72668904
417,0.21403053,0.884718397,0.71731069,0.860346643,0.713588899
418,0.22453901,0.882474175,0.715916358,0.860607599,0.713365531
419,0.21260832,0.878135513,0.723274819,0.862379768,0.718335162
420,0.22043143,0.884036945,0.729502684,0.859959401,0.712081206
421,0.21389328,0.880798532,0.726283487,0.864183943,0.712081206
422,0.2159361,0.880848153,0.721159336,0.862614282,0.709005681
423,0.21109816,0.884071481,0.739966613,0.861076933,0.711108718
424,0.21155334,0.888599056,0.727648591,0.860775569,0.699417711
425,0.20791703,0.890139695,0.735530312,0.861337094,0.723592982
426,0.20922652,0.882812336,0.734620243,0.8625435,0.723844919
427,0.2225069,0.880285164,0.735377249,0.858815717,0.728125561
428,0.21596451,0.886515491,0.723486704,0.858155805,0.727054932
429,0.21195047,0.880379353,0.720490262,0.859553842,0.713266063
430,0.22295034,0.877758834,0.716989924,0.86090528,0.719869013
431,0.20813675,0.8820661,0.733017494,0.861914996,0.722600123
432,0.22004145,0.881559624,0.724372302,0.859525271,0.715156731
433,0.2138141,0.885254585,0.727639512,0.860024741,0.713266063
434,0.21688074,0.881246963,0.718011109,0.859589457,0.713452769
435,0.21620826,0.88334056,0.737058851,0.859430883,0.710701741
436,0.21832797,0.876330533,0.71901011,0.859314019,0.694822955
