Epoch,Batch Index,Loss,Learning Rate
1,Average,1.8506226868045574,0.0001
2,Average,0.7917740953211881,0.0001
3,Average,0.7124175550986309,0.0001
4,Average,0.6361116961557038,0.0001
5,Average,0.5743823452871673,0.0001
6,Average,0.5285907953369374,0.0001
7,Average,0.5111890088538734,0.0001
8,Average,0.5294850134119695,0.0001
9,Average,0.5000866560303435,0.0001
10,Average,0.50609583209972,0.0001
11,Average,0.47656846350553084,0.0001
12,Average,0.48243745553250217,0.0001
13,Average,0.4614330408524494,0.0001
14,Average,0.4779680590240323,0.0001
15,Average,0.45878318134619267,0.0001
16,Average,0.44966406724890884,0.0001
17,Average,0.42902466958882857,0.0001
18,Average,0.40134155506990393,0.0001
19,Average,0.38355135431095044,0.0001
20,Average,0.3715001998507247,0.0001
21,Average,0.3650419657327691,0.0001
22,Average,0.3507079780101776,0.0001
23,Average,0.34005929681719566,0.0001
24,Average,0.3375933444013401,0.0001
25,Average,0.331095563513892,0.0001
26,Average,0.3322708436420986,0.0001
27,Average,0.3153909225853122,0.0001
28,Average,0.30669913790663894,0.0001
29,Average,0.3141726580809574,0.0001
30,Average,0.31159129708397143,0.0001
31,Average,0.3014750784757186,0.0001
32,Average,0.29926941528612255,0.0001
33,Average,0.291215497924357,0.0001
34,Average,0.2858065308964982,0.0001
35,Average,0.27959910977859886,0.0001
36,Average,0.2766674087972057,0.0001
37,Average,0.28104440715848183,0.0001
38,Average,0.2717516954456057,0.0001
39,Average,0.2677041952099119,0.0001
40,Average,0.26858398774448705,0.0001
41,Average,0.26502400058872844,0.0001
42,Average,0.2556092051827178,0.0001
43,Average,0.260537684267881,0.0001
44,Average,0.24569727237127265,0.0001
45,Average,0.24837181580309964,0.0001
46,Average,0.23960639110633306,0.0001
47,Average,0.23464081208316648,0.0001
48,Average,0.2302297885928835,0.0001
49,Average,0.22524120947536158,0.0001
50,Average,0.2283620086251473,0.0001
51,Average,0.21547577089192915,0.0001
52,Average,0.21142496290255566,0.0001
53,Average,0.20611747491116428,0.0001
54,Average,0.199339325938906,0.0001
55,Average,0.19948773755102742,0.0001
56,Average,0.19823798233149004,0.0001
57,Average,0.19606227868673753,0.0001
58,Average,0.18906882648565332,0.0001
59,Average,0.1899550560177589,0.0001
60,Average,0.1870355858486526,0.0001
61,Average,0.1829090297830348,0.0001
62,Average,0.17994869363551236,0.0001
63,Average,0.17982746417425116,0.0001
64,Average,0.176683208468009,0.0001
65,Average,0.1715877883288325,0.0001
66,Average,0.17666386219919944,0.0001
